model,min_context_count,n_cells,mean_difference,median_difference,share_persistence_greater
Claude-Haiku-4.5,10,50,0.030471412837308205,0.0060975609756097615,0.5
GPT-5.4-Nano,10,50,0.1335406789144716,0.14536676608867094,0.98
Gemini-3.1-Flash-Lite-Preview,10,50,0.7779426995927339,0.7902097902097902,0.98
Gemini-3.5-Flash-Lite,10,47,0.3979094843712723,0.40988927071401304,0.9787234042553191
Grok-4.20-Non-Reasoning,10,43,0.46983782549622816,0.4519507724535219,0.8837209302325582
Qwen3-235B-A22B,10,50,0.8329129432063376,0.8440306886227544,1.0
Claude-Haiku-4.5,20,48,0.031486989998212304,0.00833333333333336,0.5
GPT-5.4-Nano,20,48,0.13129237386924125,0.14148460121084494,0.9791666666666666
Gemini-3.1-Flash-Lite-Preview,20,48,0.7706023388745272,0.7881773399014778,0.9791666666666666
Gemini-3.5-Flash-Lite,20,42,0.4114022267733836,0.423076923076923,0.9761904761904762
Grok-4.20-Non-Reasoning,20,43,0.46983782549622816,0.4519507724535219,0.8837209302325582
Qwen3-235B-A22B,20,50,0.8329129432063376,0.8440306886227544,1.0
Claude-Haiku-4.5,30,48,0.031486989998212304,0.00833333333333336,0.5
GPT-5.4-Nano,30,44,0.13566200676150716,0.14536676608867094,0.9772727272727273
Gemini-3.1-Flash-Lite-Preview,30,44,0.7607023801893981,0.7794117647058822,0.9772727272727273
Gemini-3.5-Flash-Lite,30,38,0.40375507925170967,0.42187499999999994,0.9736842105263158
Grok-4.20-Non-Reasoning,30,42,0.4711016336697229,0.45614035087719307,0.8809523809523809
Qwen3-235B-A22B,30,46,0.8261173620985787,0.8425798458149779,1.0
Claude-Haiku-4.5,40,45,0.03861182728125725,0.01666666666666672,0.5111111111111111
GPT-5.4-Nano,40,43,0.13817094231926833,0.14569536423841065,0.9767441860465116
Gemini-3.1-Flash-Lite-Preview,40,40,0.7516704345779147,0.7707317073170732,0.975
Gemini-3.5-Flash-Lite,40,32,0.4080952651672777,0.42247596153846145,1.0
Grok-4.20-Non-Reasoning,40,37,0.4815260960953495,0.45977749251176725,0.8648648648648649
Qwen3-235B-A22B,40,43,0.8236334643001083,0.8367346938775511,1.0
Claude-Haiku-4.5,50,44,0.0436216002153354,0.02446236559139786,0.5227272727272727
GPT-5.4-Nano,50,42,0.13484697004644666,0.14536676608867094,0.9761904761904762
Gemini-3.1-Flash-Lite-Preview,50,36,0.7388214727344307,0.7700534759358288,0.9722222222222222
Gemini-3.5-Flash-Lite,50,28,0.4203868125252349,0.42247596153846145,1.0
Grok-4.20-Non-Reasoning,50,35,0.49720507160739724,0.47364280094413846,0.8571428571428571
Qwen3-235B-A22B,50,38,0.8095820200043558,0.8226086956521739,1.0
Claude-Haiku-4.5,Jeffreys,50,0.030314861859552372,0.00602409638554216,0.5
GPT-5.4-Nano,Jeffreys,50,0.1325373025052236,0.1443381180223286,0.98
Gemini-3.1-Flash-Lite-Preview,Jeffreys,50,0.7737454420750567,0.7847222222222222,0.98
Gemini-3.5-Flash-Lite,Jeffreys,50,0.38911479725748843,0.4,0.98
Grok-4.20-Non-Reasoning,Jeffreys,50,0.4331163944373141,0.43997599039615853,0.8
Qwen3-235B-A22B,Jeffreys,50,0.8287276801501373,0.8396428571428571,1.0
