model,strategy,round,acc
h10,AllC,1,0.0
h10,AllC,2,0.4817320703653586
h10,AllC,3,0.7215832205683356
h10,AllC,4,0.8440460081190798
h10,AllC,5,0.9096752368064953
h10,AllC,6,0.9443504736129905
h10,AllC,7,0.9654939106901218
h10,AllC,8,0.9769959404600812
h10,AllC,9,0.983085250338295
h10,AllC,10,0.9886671177266576
h10,TFT,1,0.0
h10,TFT,2,0.011840324763193504
h10,TFT,3,0.479702300405954
h10,TFT,4,0.713125845737483
h10,TFT,5,0.8262855209742895
h10,TFT,6,0.8993572395128552
h10,TFT,7,0.9446887686062246
h10,TFT,8,0.9764884979702301
h10,TFT,9,0.9827469553450608
h10,TFT,10,0.9873139377537212
h10,WSLS,1,0.9767545820295038
h10,WSLS,2,0.9624497094322754
h10,WSLS,3,0.9552972731336612
h10,WSLS,4,0.9615556548949485
h10,WSLS,5,0.9704962002682164
h10,WSLS,6,0.9767545820295038
h10,WSLS,7,0.9821189092534645
h10,WSLS,8,0.9807778274474743
h10,WSLS,9,0.9865891819400984
h10,WSLS,10,0.9906124273580689
h10,AllD,1,0.9717124094965482
h10,AllD,2,0.9496548240444519
h10,AllD,3,0.9521805017679744
h10,AllD,4,0.9612729415726553
h10,AllD,5,0.9754167368243812
h10,AllD,6,0.9791210641522142
h10,AllD,7,0.9883818824717966
h10,AllD,8,0.9910759387102206
h10,AllD,9,0.9939383734635461
h10,AllD,10,0.9947802660380536
h30,AllC,1,0.0
h30,AllC,2,0.25056987550412063
h30,AllC,3,0.30440119235490093
h30,AllC,4,0.38979484481851656
h30,AllC,5,0.4715062247939681
h30,AllC,6,0.5200771523759425
h30,AllC,7,0.5612835349815887
h30,AllC,8,0.6005611081886726
h30,AllC,9,0.6317727511835876
h30,AllC,10,0.6647378572681045
h30,AllC,11,0.6877082237418902
h30,AllC,12,0.7083990881991934
h30,AllC,13,0.7345256882342627
h30,AllC,14,0.7557425916184465
h30,AllC,15,0.7834473084341574
h30,AllC,16,0.8002805540943363
h30,AllC,17,0.8172891460634754
h30,AllC,18,0.8323689286340522
h30,AllC,19,0.8451692091881466
h30,AllC,20,0.8600736454497633
h30,AllC,21,0.8739260038576188
h30,AllC,22,0.8862002454848326
h30,AllC,23,0.8963703314045239
h30,AllC,24,0.9084692267227775
h30,AllC,25,0.9195160441872698
h30,AllC,26,0.9265298965456777
h30,AllC,27,0.9352972119936875
h30,AllC,28,0.9423110643520954
h30,AllC,29,0.9495002630194634
h30,AllC,30,0.9540592670524285
h30,TFT,1,0.0
h30,TFT,2,0.03818781461551814
h30,TFT,3,0.29942718278076724
h30,TFT,4,0.3457733032459642
h30,TFT,5,0.37805936469362955
h30,TFT,6,0.44349939246658565
h30,TFT,7,0.4907134178094081
h30,TFT,8,0.5358444714459295
h30,TFT,9,0.5780246484985245
h30,TFT,10,0.6217670543308453
h30,TFT,11,0.6552681826071862
h30,TFT,12,0.6865127582017011
h30,TFT,13,0.717757333796216
h30,TFT,14,0.7424058323207776
h30,TFT,15,0.7614997396285367
h30,TFT,16,0.7847595903488978
h30,TFT,17,0.806457212289533
h30,TFT,18,0.8212115952091651
h30,TFT,19,0.8368338830064225
h30,TFT,20,0.8528033327547301
h30,TFT,21,0.8630446103107099
h30,TFT,22,0.8783197361569172
h30,TFT,23,0.8892553376149974
h30,TFT,24,0.9014060059017531
h30,TFT,25,0.9107793785801076
h30,TFT,26,0.9192848463808366
h30,TFT,27,0.9250130185731644
h30,TFT,28,0.9342128102759938
h30,TFT,29,0.9395938205172714
h30,TFT,30,0.9446276688074987
h30,WSLS,1,0.9516011644832606
h30,WSLS,2,0.9370451237263464
h30,WSLS,3,0.9454148471615721
h30,WSLS,4,0.9734352256186317
h30,WSLS,5,0.9697962154294032
h30,WSLS,6,0.9697962154294032
h30,WSLS,7,0.9734352256186317
h30,WSLS,8,0.9748908296943232
h30,WSLS,9,0.9748908296943232
h30,WSLS,10,0.9734352256186317
h30,WSLS,11,0.9708879184861717
h30,WSLS,12,0.9705240174672489
h30,WSLS,13,0.9708879184861717
h30,WSLS,14,0.9712518195050946
h30,WSLS,15,0.9723435225618632
h30,WSLS,16,0.9730713245997089
h30,WSLS,17,0.9748908296943232
h30,WSLS,18,0.975254730713246
h30,WSLS,19,0.9745269286754003
h30,WSLS,20,0.9756186317321689
h30,WSLS,21,0.9763464337700145
h30,WSLS,22,0.9770742358078602
h30,WSLS,23,0.9788937409024745
h30,WSLS,24,0.9807132459970888
h30,WSLS,25,0.9810771470160117
h30,WSLS,26,0.9839883551673945
h30,WSLS,27,0.9832605531295487
h30,WSLS,28,0.9836244541484717
h30,WSLS,29,0.9843522561863173
h30,WSLS,30,0.9858078602620087
h30,AllD,1,0.9485141672425709
h30,AllD,2,0.9115411195577056
h30,AllD,3,0.9124049758120248
h30,AllD,4,0.939875604699378
h30,AllD,5,0.955425017277125
h30,AllD,6,0.9666551485832757
h30,AllD,7,0.968728403593642
h30,AllD,8,0.9713199723565998
h30,AllD,9,0.9727021423635107
h30,AllD,10,0.9765031098825155
h30,AllD,11,0.9790946786454734
h30,AllD,12,0.9804768486523843
h30,AllD,13,0.9813407049067036
h30,AllD,14,0.9822045611610228
h30,AllD,15,0.9832411886662059
h30,AllD,16,0.9835867311679336
h30,AllD,17,0.9834139599170698
h30,AllD,18,0.9842778161713891
h30,AllD,19,0.9846233586731168
h30,AllD,20,0.9853144436765722
h30,AllD,21,0.9877332411886662
h30,AllD,22,0.9877332411886662
h30,AllD,23,0.9885970974429855
h30,AllD,24,0.9898064961990325
h30,AllD,25,0.9911886662059434
h30,AllD,26,0.9922252937111264
h30,AllD,27,0.9925708362128541
h30,AllD,28,0.9932619212163096
h30,AllD,29,0.9930891499654457
h30,AllD,30,0.9942985487214927
