family,model,scale_nominal,AllC,TFT,WSLS,AllD,Ambiguous
frontier,Claude-3.5-Haiku,0.1,0.282,0.208,0.145,0.35,0.015
frontier,Claude-3.5-Haiku,1.0,0.408,0.192,0.218,0.102,0.08
frontier,Claude-3.5-Haiku,10.0,0.438,0.232,0.175,0.11,0.045
frontier,GPT-4o,0.1,0.225,0.088,0.115,0.568,0.005
frontier,GPT-4o,1.0,0.29,0.132,0.25,0.272,0.055
frontier,GPT-4o,10.0,0.255,0.138,0.25,0.242,0.115
frontier,Mistral-Large,0.1,0.398,0.02,0.165,0.402,0.015
frontier,Mistral-Large,1.0,0.46,0.082,0.098,0.345,0.015
frontier,Mistral-Large,10.0,0.425,0.048,0.168,0.355,0.005
small,Gemma-3-12B,0.01,0.16,0.328,0.025,0.392,0.095
small,Gemma-3-12B,0.1,0.165,0.24,0.045,0.29,0.26
small,Gemma-3-12B,1.0,0.17,0.112,0.01,0.248,0.46
small,Gemma-3-12B,10.0,0.18,0.188,0.008,0.29,0.335
small,Gemma-3-12B,100.0,0.1,0.128,0.022,0.37,0.38
small,Gemma-3-12B,1000.0,0.142,0.14,0.05,0.312,0.355
small,Llama-3.1-8B,0.01,0.172,0.09,0.075,0.662,0.0
small,Llama-3.1-8B,0.1,0.138,0.065,0.03,0.768,0.0
small,Llama-3.1-8B,1.0,0.375,0.112,0.132,0.38,0.0
small,Llama-3.1-8B,10.0,0.428,0.09,0.09,0.392,0.0
small,Llama-3.1-8B,100.0,0.348,0.11,0.085,0.458,0.0
small,Llama-3.1-8B,1000.0,0.322,0.112,0.108,0.458,0.0
small,Qwen3-8B,0.01,0.315,0.03,0.048,0.538,0.07
small,Qwen3-8B,0.1,0.278,0.035,0.078,0.59,0.02
small,Qwen3-8B,1.0,0.46,0.075,0.055,0.35,0.06
small,Qwen3-8B,10.0,0.455,0.088,0.1,0.312,0.045
small,Qwen3-8B,100.0,0.39,0.09,0.052,0.458,0.01
small,Qwen3-8B,1000.0,0.388,0.095,0.05,0.438,0.03
