corpus,split,label_set,n,share
h10,NoNoise,AllD,40320,0.25
h10,NoNoise,AllC,40074,0.24847470238095237
h10,NoNoise,TFT,39837,0.24700520833333334
h10,NoNoise,WSLS,39832,0.24697420634920636
h10,NoNoise,AllC+TFT+WSLS,768,0.004761904761904762
h10,NoNoise,TFT+WSLS,449,0.0027839781746031747
h10,Noise005,none,59276,0.3675347222222222
h10,Noise005,AllD,25485,0.15801711309523808
h10,Noise005,TFT,25327,0.1570374503968254
h10,Noise005,AllC,25274,0.15670882936507938
h10,Noise005,WSLS,25041,0.1552641369047619
h10,Noise005,AllC+TFT+WSLS,524,0.0032490079365079367
h10,Noise005,TFT+WSLS,353,0.0021887400793650794
h10,Noise01,none,98234,0.6090897817460318
h10,Noise01,AllC,15721,0.09747643849206349
h10,Noise01,AllD,15633,0.09693080357142857
h10,Noise01,WSLS,15588,0.09665178571428572
h10,Noise01,TFT,15537,0.09633556547619047
h10,Noise01,AllC+TFT+WSLS,341,0.0021143353174603173
h10,Noise01,TFT+WSLS,226,0.0014012896825396825
h10,Noise02,none,138259,0.8572606646825397
h10,Noise02,TFT,5767,0.03575768849206349
h10,Noise02,AllC,5710,0.03540426587301587
h10,Noise02,WSLS,5689,0.03527405753968254
h10,Noise02,AllD,5608,0.0347718253968254
h10,Noise02,AllC+TFT+WSLS,141,0.0008742559523809524
h10,Noise02,TFT+WSLS,106,0.0006572420634920635
h30,NoNoise,AllC+TFT+WSLS,90720,0.5625
h30,NoNoise,AllD,40320,0.25
h30,NoNoise,AllC,10080,0.0625
h30,NoNoise,TFT,10080,0.0625
h30,NoNoise,WSLS,10080,0.0625
h30,Noise005,none,126097,0.7818514384920635
h30,Noise005,AllD,8748,0.05424107142857143
h30,Noise005,AllC,7455,0.046223958333333336
h30,Noise005,TFT,7277,0.0451202876984127
h30,Noise005,WSLS,7173,0.04447544642857143
h30,Noise005,AllC+TFT+WSLS,4383,0.027176339285714286
h30,Noise005,TFT+WSLS,147,0.0009114583333333333
