model,scale_nominal,en,fr,vn,cn,ar
Claude-3.5-Haiku,0.1,40,40,40,40,40
Claude-3.5-Haiku,1.0,40,40,40,40,40
Claude-3.5-Haiku,10.0,40,40,40,40,40
GPT-4o,0.1,40,40,40,40,40
GPT-4o,1.0,40,40,40,40,40
GPT-4o,10.0,40,40,40,40,40
GPT-5.4-Nano,0.01,40,40,40,40,40
GPT-5.4-Nano,0.1,40,40,40,40,40
GPT-5.4-Nano,0.25,40,40,40,40,40
GPT-5.4-Nano,0.5,40,40,40,40,40
GPT-5.4-Nano,1.0,40,40,40,40,40
GPT-5.4-Nano,2.0,40,40,40,40,40
GPT-5.4-Nano,5.0,40,40,40,40,40
GPT-5.4-Nano,10.0,40,40,40,40,40
GPT-5.4-Nano,100.0,40,40,40,40,40
GPT-5.4-Nano,1000.0,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,0.01,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,0.1,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,0.25,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,0.5,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,1.0,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,2.0,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,5.0,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,10.0,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,100.0,40,40,40,40,40
Gemini-3.1-Flash-Lite-Preview,1000.0,40,40,40,40,40
Gemini-3.5-Flash-Lite,0.01,40,40,40,40,40
Gemini-3.5-Flash-Lite,0.1,40,40,40,40,40
Gemini-3.5-Flash-Lite,0.25,40,40,40,40,40
Gemini-3.5-Flash-Lite,0.5,40,40,40,40,40
Gemini-3.5-Flash-Lite,1.0,40,40,40,40,40
Gemini-3.5-Flash-Lite,2.0,40,40,40,40,40
Gemini-3.5-Flash-Lite,5.0,40,40,40,40,40
Gemini-3.5-Flash-Lite,10.0,40,40,40,40,40
Gemini-3.5-Flash-Lite,100.0,40,40,40,40,40
Gemini-3.5-Flash-Lite,1000.0,40,40,40,40,40
Mistral-Large,0.1,40,40,40,40,40
Mistral-Large,1.0,40,40,40,40,40
Mistral-Large,10.0,40,40,40,40,40
