model,scale_nominal,coop,eff,benchmark,premium
Claude-3.5-Haiku,0.1,0.4675,0.6833750000000001,2.065,-1.3816249999999999
Claude-3.5-Haiku,1.0,0.7,0.8077500000000001,1.6,-0.79225
Claude-3.5-Haiku,10.0,0.7075,0.812375,1.585,-0.772625
GPT-4o,0.1,0.29425,0.5944375000000001,2.4114999999999998,-1.8170624999999996
GPT-4o,1.0,0.5205,0.70475,1.959,-1.25425
GPT-4o,10.0,0.52825,0.7109375,1.9434999999999998,-1.2325624999999998
Gemini-3.5-Flash-Lite,0.1,0.69375,0.8220624999999999,1.6125,-0.7904375000000001
Gemini-3.5-Flash-Lite,1.0,0.77375,0.8460625,1.4525,-0.6064374999999999
Gemini-3.5-Flash-Lite,10.0,0.75375,0.8390625,1.4925,-0.6534374999999999
Mistral-Large,0.1,0.502,0.68525,1.996,-1.31075
Mistral-Large,1.0,0.538,0.70625,1.924,-1.2177499999999999
Mistral-Large,10.0,0.53275,0.7030625,1.9345000000000003,-1.2314375000000002
