arm,regime,coop,lo,hi,n,model
frontier,fractional,0.489375,0.46668593750000004,0.509625,1600,pooled
frontier,unit,0.6318125000000001,0.61915546875,0.64400078125,3200,pooled
open-weight,fractional,0.3703194444444444,0.35195486111111113,0.3882229166666667,2400,pooled
open-weight,large,0.48881944444444436,0.47151076388888885,0.5075572916666666,2400,pooled
open-weight,unit,0.5696249999999999,0.5528322916666666,0.5878340277777776,2400,pooled
frontier,fractional,0.4675,0.4335,0.5035,400,Claude-3.5-Haiku
frontier,unit,0.70375,0.6833750000000001,0.722753125,800,Claude-3.5-Haiku
frontier,fractional,0.29425,0.26624375,0.3245,400,GPT-4o
frontier,unit,0.524375,0.49973125,0.548503125,800,GPT-4o
frontier,fractional,0.69375,0.6419999999999999,0.745,400,Gemini-3.5-Flash-Lite
frontier,unit,0.76375,0.7442500000000001,0.781875,800,Gemini-3.5-Flash-Lite
frontier,fractional,0.502,0.46349375,0.5435125,400,Mistral-Large
frontier,unit,0.535375,0.5089937499999999,0.5625,800,Mistral-Large
open-weight,fractional,0.4306249999999999,0.39041354166666664,0.4709166666666666,800,Gemma-3-12B
open-weight,large,0.544125,0.5021083333333333,0.5860427083333334,800,Gemma-3-12B
open-weight,unit,0.6304583333333333,0.5916604166666667,0.6686302083333334,800,Gemma-3-12B
open-weight,fractional,0.319625,0.30683333333333335,0.33337812499999997,800,Llama-3.1-8B
open-weight,large,0.45012499999999994,0.43399895833333335,0.4665447916666667,800,Llama-3.1-8B
open-weight,unit,0.49045833333333333,0.47691354166666666,0.504625,800,Llama-3.1-8B
open-weight,fractional,0.3607083333333334,0.3312052083333334,0.3928354166666667,800,Qwen3-8B
open-weight,large,0.47220833333333334,0.443040625,0.5009677083333333,800,Qwen3-8B
open-weight,unit,0.5879583333333334,0.5553729166666667,0.6199604166666667,800,Qwen3-8B
