arm,regime,block,block_order,coop,n
frontier,fractional,r1,0,0.4775,1600
frontier,fractional,r2-3,1,0.4265625,3200
frontier,fractional,r4-6,2,0.4820833333333333,4800
frontier,fractional,r7-10,3,0.52921875,6400
frontier,unit,r1,0,0.67625,3200
frontier,unit,r2-3,1,0.62984375,6400
frontier,unit,r4-6,2,0.6289583333333333,9600
frontier,unit,r7-10,3,0.623828125,12800
open-weight,fractional,r1,0,0.36625,2400
open-weight,fractional,r2-5,1,0.31364583333333335,9600
open-weight,fractional,r6-15,2,0.3577916666666667,24000
open-weight,fractional,r16-30,3,0.39405555555555555,36000
open-weight,large,r1,0,0.445,2400
open-weight,large,r2-5,1,0.4071875,9600
open-weight,large,r6-15,2,0.4729583333333333,24000
open-weight,large,r16-30,3,0.5240833333333333,36000
open-weight,unit,r1,0,0.495,2400
open-weight,unit,r2-5,1,0.4996875,9600
open-weight,unit,r6-15,2,0.5540416666666667,24000
open-weight,unit,r16-30,3,0.6036388888888888,36000
