column,feature,PC1,PC2,PC3,PC4,PC5,PC1_var_share,PC2_var_share,PC3_var_share,PC4_var_share,PC5_var_share
coop_rate,coop rate,0.3559389373026641,-0.051052308434346924,0.04279818831339626,0.011646147751759615,0.012799952204417549,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
first_coop,round-1 C,0.22869437366449852,-0.003385041557668833,-0.047151714551888414,0.4070789038678704,0.2568097541291457,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
last_coop,round-10 C,0.2713459189304672,-0.0500055690209649,0.04796249193918717,-0.27863638407412844,-0.2506291191025042,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
endgame_drop,endgame drop,-0.0444155323217608,0.05268868153348419,-0.07650844878702731,0.6031586701553445,0.4493366742405297,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
reciprocity,reciprocity,-0.0040128499581950985,-0.06123160917197003,0.10883140434172443,-0.3692818442628394,0.5756532774861232,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
pC_R,P(C | R),0.31261767131785184,-0.052300551539320124,0.09675595340356612,-0.13528907436136028,0.15624053865118295,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
pC_S,P(C | S),0.3229797757132369,-0.021837743923973238,0.008294687774929671,0.03953920456141108,-0.1456880148472329,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
pC_T,P(C | T),0.31375094696865563,-0.08688229841701635,0.036734346244243016,-0.09751783081736491,0.10294783102128724,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
pC_P,P(C | P),0.3148093970910864,-0.049775899160439764,0.02210610755851815,0.11122566035048696,-0.17791109622403078,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
cc_rate,CC share,0.2805919963014064,0.26044615738450055,0.05982186849616354,-0.1447730520083111,0.1530370726539517,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
cd_rate,CD share,0.09920799955500638,-0.43502080151982675,-0.024572664238719073,0.21869103734376544,-0.19647374979911747,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
dc_rate,DC share,-0.2046195256637998,0.2525151782076957,0.25048962377481204,0.2078739941784858,-0.21231328860475265,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
dd_rate,DD share,-0.2557963684101392,-0.1620395026185401,-0.27572560432662074,-0.19944182642475494,0.17331228895794537,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
rule_distance,rule distance,-0.11244177644560945,-0.14684260270844474,0.4475850638455473,-0.01765868244799605,-0.09883448053227119,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
utility,utility,-0.005701768172224449,0.4986293706063954,0.20483323526813788,-0.046329624564111736,0.039003599909441126,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
miss_pC_R,R never seen,-0.19511275495176572,-0.10709575071621953,-0.40729466046983304,-0.03109408056449523,-0.19711737669423954,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
miss_pC_S,S never seen,-0.022216613922535752,0.4415742343042548,-0.20102820885719486,-0.14013970742552817,0.0014321479746918545,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
miss_pC_T,T never seen,0.20230224694982035,-0.09808044673280189,-0.4316950591882839,-0.07247232100635859,0.12122963052605887,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
miss_pC_P,P never seen,0.23019536885455644,0.24610236193777033,-0.09305346167034283,0.18570844359912203,-0.16224394465877343,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
miss_recip,recip. undefined,0.06905929175458726,0.28492870385697106,-0.422038121993859,-0.004281088972730244,-0.146969950100723,0.38275484360519996,0.17458920863379368,0.11094373838966916,0.08469884241481773,0.060275790705613175
